AFC Bournemouth, 1-2, Sunderland, 2016, 11, http://www.bbc.com/sport/football/37808235
Burnley, 3-2, Crystal Palace, 2016, 11, http://www.bbc.com/sport/football/37808324
Manchester City, 1-1, Middlesbrough, 2016, 11, http://www.bbc.com/sport/football/37808310
West Ham United, 1-1, Stoke City, 2016, 11, http://www.bbc.com/sport/football/37808219
Chelsea, 5-0, Everton, 2016, 11, http://www.bbc.com/sport/football/37808311
Arsenal, 1-1, Tottenham Hotspur, 2016, 11, http://www.bbc.com/sport/football/37814331
Hull City, 2-1, Southampton, 2016, 11, http://www.bbc.com/sport/football/37814323
Liverpool, 6-1, Watford, 2016, 11, http://www.bbc.com/sport/football/37814248
Swansea City, 1-3, Manchester United, 2016, 11, http://www.bbc.com/sport/football/37814290
Leicester City, 1-2, West Bromwich Albion, 2016, 11, http://www.bbc.com/sport/football/37814275
Manchester United, 1-1, Arsenal, 2016, 11, http://www.bbc.com/sport/football/37959760
Crystal Palace, 1-2, Manchester City, 2016, 11, http://www.bbc.com/sport/football/37959793
Everton, 1-1, Swansea City, 2016, 11, http://www.bbc.com/sport/football/37959842
Southampton, 0-0, Liverpool, 2016, 11, http://www.bbc.com/sport/football/37959761
Stoke City, 0-1, AFC Bournemouth, 2016, 11, http://www.bbc.com/sport/football/37959843
Sunderland, 3-0, Hull City, 2016, 11, http://www.bbc.com/sport/football/37959901
Watford, 2-1, Leicester City, 2016, 11, http://www.bbc.com/sport/football/37959794
Tottenham Hotspur, 3-2, West Ham United, 2016, 11, http://www.bbc.com/sport/football/37959870
Middlesbrough, 0-1, Chelsea, 2016, 11, http://www.bbc.com/sport/football/37965475
West Bromwich Albion, 4-0, Burnley, 2016, 11, http://www.bbc.com/sport/football/37970618
Burnley, 1-2, Manchester City, 2016, 11, http://www.bbc.com/sport/football/38036030
Hull City, 1-1, West Bromwich Albion, 2016, 11, http://www.bbc.com/sport/football/38036081
Leicester City, 2-2, Middlesbrough, 2016, 11, http://www.bbc.com/sport/football/38036032
